id,name,doro,old-doro,man_dae,man_so,man2_dae,man2_so,woman,woman2,latitude,longitude
97,삼척시보건소,강원도 삼척시 봉황로 101 (남양동),강원도 삼척시 남양동 347-4,6,8,0,0,6,0,37.44639542,129.1712355
98,삼척의료원 본관,강원도 삼척시 오십천로 418 (남양동),강원도 삼척시 남양동 55-9,11,16,0,0,22,4,37.4403269,129.1633429
99,"삼척의료원(소아,청소년센터)",강원도 삼척시 오십천로 418 (남양동),강원도 삼척시 남양동 55-9,4,8,0,0,12,0,37.4403269,129.1633429
100,원더풀주유소,강원도 삼척시 동해대로 3852 (오분동),강원도 삼척시 오분동 126-3,3,4,0,0,3,0,37.42939346,129.1829711
101,중앙시장 A,강원도 삼척시 진주로 12-21 (남양동),강원도 삼척시 남양동 55-5,1,3,1,0,3,1,37.44210346,129.1646216
102,중앙시장 B,강원도 삼척시 진주로 12-21 (남양동),강원도 삼척시 남양동 55-5,2,4,1,0,3,1,37.44210346,129.1646216
103,중앙시장 C,강원도 삼척시 진주로 12-21 (남양동),강원도 삼척시 남양동 55-5,1,3,1,0,4,1,37.44210346,129.1646216
104,중앙시장 D,강원도 삼척시 진주로 12-21 (남양동),강원도 삼척시 남양동 55-5,1,3,1,0,4,1,37.44210346,129.1646216
105,가람공원 태양광화장실,강원도 삼척시 엑스포로 50 (성남동),강원도 삼척시 성남동 173-3,2,3,1,1,4,1,37.43980712,129.157717
106,등봉주유소,강원도 삼척시 오십천로 101 (등봉동),강원도 삼척시 등봉동 11-1,2,1,0,0,2,0,37.44321311,129.1318661
107,명가해물,강원도 삼척시 진주로50-1,강원도 삼척시 당저동 62-6,1,2,0,0,2,0,37.44526147,129.1640904
108,문화예술회관,강원도 삼척시 엑스포로 45 (성남동),강원도 삼척시 성남동 1-5,2,2,0,0,2,3,37.43896328,129.1601383
109,문화예술회관야외공연장,강원도 삼척시 엑스포로 45,강원도 삼척시 성남동 1-5,2,5,1,1,3,0,37.43896328,129.1601383
110,삼척등봉충전소,강원도 삼척시 오십천로 91 (등봉동),강원도 삼척시 등봉동 11-2,1,1,0,0,1,0,37.44280133,129.1308226
111,삼척시립박물관,강원도 삼척시 엑스포로 54,강원도 삼척시 성남동 167-8,5,8,0,0,5,3,37.43891237,129.1584091
112,삼척평생교육정보관,강원도 삼척시 사대안길 21 (당저동),강원도 삼척시 당저동 57,12,18,0,0,15,6,37.44582388,129.1640652
113,성내동사무소,강원도 삼척시 대학로 57 (당저동),강원도 삼척시 당저동 133-2,1,2,1,0,1,1,37.44620787,129.1629114
114,시청앞주유소,강원도 삼척시 교동로 40 (당저동),강원도 삼척시 당저동 28-2,1,2,0,0,1,0,37.44764426,129.1669327
115,고원관광휴게소,강원도 삼척시 도계읍 강원남부로 634,강원도 삼척시 도계읍 심포리 198-9,3,7,0,0,4,0,37.17951956,129.0347651
116,도계공설운동장,강원도 삼척시 도계읍 늑구점리길 51,강원도 삼척시 도계읍 늑구리 132,3,4,1,0,3,1,37.257813,129.0546502
117,도계공설운동장 보조경기장,강원도 삼척시 도계읍 늑구점리길 51,강원도 삼척시 도계읍 늑구리 132,4,5,1,0,4,1,37.257813,129.0546502
118,도계도서관,강원도 삼척시 도계읍 도계느티로 25-18,강원도 삼척시 도계읍 도계리 287-5,6,6,0,0,9,2,37.23239478,129.0497029
119,도계바람개비 화장실,강원도 삼척시 도계읍 강원남부로 1488,강원도 삼척시 도계읍 전두리 1-1,3,3,1,0,4,1,37.23730874,129.0437132
120,도계버스터미널,강원도 삼척시 도계읍 강원남부로 1342,강원도 삼척시 도계읍 전두리 110,1,3,1,0,2,1,37.22432725,129.0421206
121,도계보건출장소,강원도 삼척시 도계읍 전두안길 56,강원도 삼척시 도계읍 전두리 35-15,3,5,0,0,7,0,37.23315469,129.0432092
122,도계역,강원도 삼척시 도계읍 도계로 222,강원도 삼척시 도계읍 전두리 66,3,3,0,0,3,0,37.22976245,129.0439202
123,도계읍사무소,강원도 삼척시 도계읍 도계로 308,강원도 삼척시 도계읍 도계리 369-5,2,1,0,0,2,0,37.23643989,129.0453109
124,도계주유소,강원도 삼척시 도계읍 강원남부로 1560,강원도 삼척시 도계읍 마교리 255-4,1,2,0,0,1,0,37.24292647,129.0468545
125,솔밭가든,강원도 삼척시 강원남부로 1554,강원도 삼척시 도계읍 마교리 257,1,1,0,0,2,0,37.24250316,129.0464158
126,우창주유소,강원도 삼척시 도계읍 강원남부로 1696,강원도 삼척시 도계읍 마교리 161,1,2,0,0,2,0,37.25227487,129.0546511
127,중앙주유소,강원도 삼척시 도계읍 강원남부로 1332,강원도 삼척시 도계읍 전두리 140,1,0,0,0,1,0,37.2235385,129.0416044
128,태극가스충천소,강원도 삼척시 강원남부로 1800,강원도 삼척시 도계읍 늑구리 70-1,1,1,0,0,2,0,37.26056456,129.0603668
129,갈남항 공동화장실(방파제),강원도 삼척시 원덕읍 갈남길 49-26,강원도 삼척시 원덕읍 갈남리 99-18,2,2,1,0,3,1,37.2808503,129.3246279
